name,description,servings,prep_time,cook_time,ingredients,method,notes,created_by,updated_at,updated_by,category,tag,source
Chicken Curry,Spicy and flavorful Indian chicken curry.,4,15,30,"- 1 tbsp vegetable oil\n- 1 large onion\n- 2 tbsp curry paste\n- 1 tbsp tomato purée\n- 400g can chopped tomatoes\n- 400g can coconut milk\n- 4 boneless chicken breasts, chopped","1. Heat the oil in a large pan, then add the onion and cook for 5 mins until softened.\n2. Add the curry paste and tomato purée, stir well and cook for 2 mins.\n3. Tip in the tomatoes and coconut milk, and bring to the boil.\n4. Add the chicken pieces, cover the pan and simmer for 20 mins or until the chicken is cooked through and tender.\n5. Serve with rice and naan bread.","For a spicier version, add a finely chopped red chilli when cooking the onions.",1,,1,Indian,#curry,http://example.com/chicken-curry
Vegetable Stir Fry,Quick and easy vegetable stir fry.,2,10,15,"- 1 tbsp olive oil\n- 1 red bell pepper, sliced\n- 1 yellow bell pepper, sliced\n- 1 green bell pepper, sliced\n- 1 large carrot, thinly sliced\n- 1 zucchini, sliced\n- 2 cloves garlic, minced\n- 2 tbsp soy sauce\n- 1 tbsp oyster sauce\n- 1 tsp cornstarch mixed with 1 tbsp water","1. Heat the oil in a large wok or frying pan over medium-high heat.\n2. Add the garlic and stir-fry for about 30 seconds.\n3. Add all the vegetables and stir-fry for about 5 minutes or until tender-crisp.\n4. Add the soy sauce and oyster sauce, and stir well to combine.\n5. Pour in the cornstarch mixture and cook for another 1-2 minutes, until the sauce has thickened.\n6. Serve hot, over steamed rice or noodles.","Feel free to add tofu or chicken for extra protein.",1,,1,Asian,#vegetarian,http://example.com/vegetable-stir-fry
Classic Pancakes,Fluffy and light classic pancakes.,4,5,15,"- 1 cup all-purpose flour\n- 2 tbsp sugar\n- 1 tsp baking powder\n- 1/2 tsp baking soda\n- 1/4 tsp salt\n- 1 cup buttermilk\n- 1/2 cup milk\n- 1 large egg\n- 2 tbsp unsalted butter, melted","1. In a large bowl, whisk together the flour, sugar, baking powder, baking soda, and salt.\n2. In another bowl, whisk together the buttermilk, milk, egg, and melted butter.\n3. Pour the wet ingredients into the dry ingredients and stir until just combined.\n4. Heat a non-stick skillet over medium heat and lightly grease with butter or oil.\n5. Pour 1/4 cup of batter onto the skillet for each pancake and cook until bubbles form on the surface, then flip and cook until golden brown on the other side.\n6. Serve warm with maple syrup and your favorite toppings.","For fluffier pancakes, let the batter sit for 5 minutes before cooking.",1,,1,Breakfast,#pancakes,http://example.com/classic-pancakes
Chocolate Chip Cookies,Chewy and delicious chocolate chip cookies.,24,15,10,"- 1 cup unsalted butter, melted\n- 1 cup brown sugar\n- 1/2 cup white sugar\n- 2 large eggs\n- 1 tsp vanilla extract\n- 3 cups all-purpose flour\n- 1 tsp baking soda\n- 1/2 tsp baking powder\n- 1/2 tsp salt\n- 2 cups chocolate chips","1. Preheat the oven to 375°F (190°C).\n2. In a large bowl, mix together the melted butter, brown sugar, and white sugar until well blended.\n3. Beat in the eggs and vanilla until light and creamy.\n4. Combine the flour, baking soda, baking powder, and salt; gradually stir into the butter mixture.\n5. Fold in the chocolate chips.\n6. Drop by large spoonfuls onto ungreased baking sheets.\n7. Bake for about 10 minutes, or until edges are nicely browned.\n8. Let cool on the baking sheets for a few minutes before transferring to wire racks to cool completely.","For a chewy texture, slightly underbake the cookies.",1,,1,Dessert,#cookies,http://example.com/chocolate-chip-cookies
Beef Tacos,Simple and tasty beef tacos.,4,20,15,"- 500g ground beef\n- 1 onion, finely chopped\n- 2 garlic cloves, minced\n- 1 tsp ground cumin\n- 1 tsp paprika\n- 1 tsp chili powder\n- Salt and pepper to taste\n- Taco shells\n- Toppings of choice (lettuce, tomato, cheese, sour cream)","1. In a large skillet, cook the ground beef over medium heat until browned.\n2. Add the onion and garlic, and cook until softened.\n3. Stir in the cumin, paprika, chili powder, salt, and pepper.\n4. Cook for an additional 5 minutes.\n5. Serve in taco shells with your favorite toppings.","For a twist, try using ground turkey or chicken instead of beef.",1,,1,Mexican,#tacos,http://example.com/beef-tacos
Margherita Pizza,Classic Italian margherita pizza with fresh mozzarella and basil.,2,15,10,"- 1 pizza dough\n- 1/2 cup tomato sauce\n- 1 cup fresh mozzarella, sliced\n- 1/4 cup fresh basil leaves\n- 2 tbsp olive oil\n- Salt to taste","1. Preheat your oven to 475°F (245°C).\n2. Roll out the pizza dough on a floured surface.\n3. Spread the tomato sauce over the dough.\n4. Arrange the mozzarella slices on top.\n5. Bake in the preheated oven for 10 minutes or until the crust is golden and the cheese is bubbly.\n6. Remove from the oven and sprinkle with fresh basil leaves.\n7. Drizzle with olive oil and season with salt.\n8. Slice and serve.","For a crispier crust, bake the pizza on a preheated pizza stone.",1,,1,Italian,#pizza,http://example.com/margherita-pizza
Butter Chicken,Rich and creamy Indian butter chicken.,4,20,30,"- 1 kg chicken thighs, boneless and skinless\n- 1 cup plain yogurt\n- 2 tbsp lemon juice\n- 1 tbsp ground cumin\n- 1 tbsp garam masala\n- 1 tbsp turmeric\n- 1 tbsp chili powder\n- 2 tbsp vegetable oil\n- 1 large onion, finely chopped\n- 3 garlic cloves, minced\n- 1 tbsp fresh ginger, grated\n- 1 can (400g) crushed tomatoes\n- 1 cup heavy cream\n- 2 tbsp butter","1. In a large bowl, combine the yogurt, lemon juice, cumin, garam masala, turmeric, and chili powder. Add the chicken and coat well. Marinate for at least 30 minutes.\n2. Heat the oil in a large pan over medium heat. Add the onion, garlic, and ginger and cook until softened.\n3. Add the marinated chicken and cook until browned.\n4. Stir in the crushed tomatoes and bring to a boil.\n5. Reduce the heat and simmer for 20 minutes.\n6. Stir in the cream and butter.\n7. Cook for another 10 minutes. Serve with rice and naan.","For a richer flavor, marinate the chicken overnight.",1,,1,Indian,#butterchicken,http://example.com/butter-chicken
Tom Yum Soup,Spicy and sour Thai soup with shrimp.,4,15,15,"- 500g shrimp, peeled and deveined\n- 1 liter chicken broth\n- 1 stalk lemongrass, sliced\n- 3 kaffir lime leaves, torn\n- 2 red chili peppers, sliced\n- 200g mushrooms, sliced\n- 1 tomato, chopped\n- 2 tbsp fish sauce\n- 1 tbsp lime juice\n- Fresh cilantro for garnish","1. In a large pot, bring the chicken broth to a boil.\n2. Add the lemongrass, lime leaves, and chili peppers, and simmer for 5 minutes.\n3. Add the mushrooms, tomato, and shrimp, and cook until the shrimp are pink and opaque.\n4. Stir in the fish sauce and lime juice.\n5. Garnish with fresh cilantro and serve.","Adjust the amount of chili peppers to your spice preference.",1,,1,Soup,#tomyum,http://example.com/tom-yum-soup
Falafel Wrap,Healthy and flavorful falafel wraps.,4,20,10,"- 1 can chickpeas, drained\n- 1 small onion, chopped\n- 2 cloves garlic, minced\n- 1 tsp ground cumin\n- 1 tsp ground coriander\n- 1/2 tsp baking powder\n- 2 tbsp flour\n- Salt and pepper to taste\n- 4 pita breads\n- 1 cup hummus\n- 1 cup shredded lettuce\n- 1 cup diced tomatoes\n- 1/2 cup tzatziki sauce","1. In a food processor, combine chickpeas, onion, garlic, cumin, coriander, baking powder, flour, salt, and pepper. Process until smooth.\n2. Form the mixture into small balls or patties.\n3. Heat oil in a skillet over medium heat and fry the falafel until golden brown.\n4. Spread hummus on each pita bread, add falafel, lettuce, and tomatoes. Drizzle with tzatziki sauce.\n5. Roll up and serve.","Serve with extra tzatziki sauce on the side.",1,,1,Mediterranean,#falafel,http://example.com/falafel-wrap
Beef Stroganoff,Hearty and creamy beef stroganoff with mushrooms.,4,20,30,"- 500g beef sirloin, thinly sliced\n- 1 onion, chopped\n- 2 cloves garlic, minced\n- 200g mushrooms, sliced\n- 1 cup beef broth\n- 1 cup sour cream\n- 2 tbsp flour\n- 2 tbsp butter\n- Salt and pepper to taste\n- Egg noodles or rice for serving","1. In a large skillet, melt the butter over medium heat. Add the onions and garlic, and cook until softened.\n2. Add the beef and cook until browned.\n3. Add the mushrooms and cook until tender.\n4. Stir in the flour and cook for 1 minute.\n5. Add the beef broth and bring to a boil.\n6. Reduce the heat and stir in the sour cream.\n7. Simmer for 10 minutes, or until the sauce has thickened.\n8. Serve over egg noodles or rice.","For a richer flavor, use heavy cream instead of sour cream.",1,,1,Russian,#beefstroganoff,http://example.com/beef-stroganoff
